session_id,target
1,4.295687096393743e-05
2,3.822214152994411e-07
3,3.160858234223681e-07
4,2.7413201446815626e-07
5,2.1462625286569852e-05
6,2.694611871793837e-05
7,1.3938735224489625e-05
8,0.00026064336341117346
9,1.32271383147066e-05
10,0.0007982724216569997
11,0.00018568886065267656
12,7.604127367049783e-06
13,2.81226197716313e-05
14,0.021621927026108507
15,0.00012340661563193665
16,0.00013074112691332344
17,0.001066041642171863
18,4.942260400073101e-06
19,0.00037326802015465106
20,5.289824670810002e-06
21,0.008358137738562725
22,9.401024951263597e-08
23,3.617852341191916e-05
24,0.00022923482810709224
25,0.00025526040800152275
26,4.08172455140406e-06
27,3.4953774014427085e-05
28,2.7117231236176214e-07
29,0.001713298976663825
30,0.001476976258324644
31,0.02434097709799692
32,0.03243810550410735
33,4.713846468453156e-05
34,4.035870492697708e-06
35,0.0020117765471299614
36,1.7207796913951684e-06
37,1.3284199945000831e-08
38,9.184042804366409e-07
39,0.0004544341719891
40,1.4716822378237527e-06
41,0.001597370724007625
42,0.0005058444635320871
43,0.00013452646466519333
44,1.2891179779147808e-07
45,0.31721406087765125
46,0.00024832769770320707
47,0.00010829560457625446
48,1.415622287063387e-06
49,0.0001316417351894745
50,2.196241118861796e-05
51,1.8938586215476954e-07
52,8.732355877069657e-06
53,0.002082811246781656
54,4.722123075724395e-06
55,0.004004431709784501
56,8.887169768883724e-05
57,1.1506155282998542e-07
58,1.4342867231958753e-06
59,2.371001658749769e-06
60,2.8350608245214385e-08
61,3.925111373451305e-05
62,0.00024749137824909114
63,2.311073528428119e-07
64,0.001962659441197611
65,3.785856931522436e-05
66,2.7183904175783773e-06
67,0.0012014765772402718
68,0.002885048686956476
69,0.00043441201804530057
70,1.1226336686921724e-05
71,0.004774274116177759
72,9.334723475555965e-05
73,0.007223192469111784
74,4.222629942761991e-06
75,5.810311657972362e-06
76,1.0781608836692947e-05
77,0.00016210152260104975
78,0.0006242726539313219
79,5.088377916572079e-07
80,6.154061625052794e-06
81,1.2663197588168157e-05
82,3.561370566366997e-05
83,2.5529049891325294e-07
84,0.8801145601212158
85,7.62193910914229e-05
86,2.5813149485911332e-05
87,0.001329549543043191
88,1.7750693591120035e-05
89,4.106715220532466e-05
